browser,engine,time
chrome,bing,0.3122735023498535
firefox,google,0.18300700187683105
firefox,bing,0.27225780487060547
chrome,bing,0.5136041641235352
chrome,duckduckgo,1.2759370803833008
firefox,duckduckgo,0.06989717483520508
edge,duckduckgo,1.2924888134002686
chrome,duckduckgo,0.1567227840423584
firefox,bing,0.18367481231689453
chrome,bing,1.4084656238555908
edge,bing,0.8667235374450684
edge,duckduckgo,1.1280853748321533
firefox,bing,0.21305465698242188
firefox,google,0.15014314651489258
chrome,google,0.38053345680236816
firefox,duckduckgo,0.0729978084564209
edge,google,2.8992655277252197
edge,google,2.9009835720062256
chrome,bing,0.35986757278442383
edge,bing,0.9396517276763916
chrome,google,0.36397814750671387
edge,google,2.9935925006866455
edge,google,3.0527310371398926
edge,bing,0.9331378936767578
chrome,google,0.3143737316131592
edge,duckduckgo,1.2696056365966797
firefox,duckduckgo,0.05779576301574707
firefox,duckduckgo,0.053687095642089844
firefox,google,0.13974428176879883
firefox,bing,0.17004776000976562
edge,bing,0.9737119674682617
chrome,duckduckgo,0.19576287269592285
chrome,duckduckgo,0.2495119571685791
chrome,google,0.23527312278747559
firefox,google,0.1539609432220459
edge,duckduckgo,1.3006458282470703
